date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:18:11	70/70	---MCZ	200	added ('OK')	text/plain	date:Wed,%2008%20Jun%202022%2002:18:10%20GMT	https://www.tristanparker.co.uk/robots.txt		(from )
06:18:11	243154/243154	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:11%20GMT	https://www.tristanparker.co.uk/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/index.html	(from )
06:18:12	5842/5842	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Jun%202022%2002:18:12%20GMT	https://gmpg.org/xfn/11	/Users/ibrahimyasir/Documents/new/portfolio/gmpg.org/xfn/11.html	(from https://www.tristanparker.co.uk/)
06:18:12	4885/4885	---M--	200	added ('OK')	image/png	etag:%2262024bfc-1315%22	https://www.tristanparker.co.uk/wp-content/uploads/2022/01/partridge-cycles-logo.png	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/uploads/2022/01/partridge-cycles-logo.png	(from https://www.tristanparker.co.uk/)
06:18:14	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jun%202022%2002:18:14%20GMT	http://connect.livechatinc.com/	/Users/ibrahimyasir/Documents/new/portfolio/connect.livechatinc.com/index.html	(from https://www.tristanparker.co.uk/)
06:18:14	747/747	---MCZ	200	added ('OK')	text/css	etag:W/%226215f028-2eb%22	https://www.tristanparker.co.uk/wp-content/plugins/wp-live-chat-software-for-wordpress/plugin_files/css/livechat-icons.css?ver=4.5.5	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-content/plugins/wp-live-chat-software-for-wordpress/plugin_files/css/livechat-icons2cb6.css	(from https://www.tristanparker.co.uk/)
06:18:14	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2008%20Jun%202022%2002:18:14%20GMT	http://s.w.org/	/Users/ibrahimyasir/Documents/new/portfolio/s.w.org/index.html	(from https://www.tristanparker.co.uk/)
06:18:14	49513/49513	---MC-	200	added ('OK')	application/rss+xml	etag:%228028258a204a52b189f9f3def0731f9e%22	https://www.tristanparker.co.uk/feed/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/feed/index.html	(from https://www.tristanparker.co.uk/)
06:18:16	88870/88870	---MCZ	200	added ('OK')	text/css	etag:W/%22628fdffe-15b26%22	https://www.tristanparker.co.uk/wp-includes/css/dist/block-library/style.min.css?ver=6.0	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/wp-includes/css/dist/block-library/style.minf049.css	(from https://www.tristanparker.co.uk/)
06:18:16	680/680	---MC-	200	added ('OK')	application/rss+xml	etag:%228028258a204a52b189f9f3def0731f9e%22	https://www.tristanparker.co.uk/comments/feed/	/Users/ibrahimyasir/Documents/new/portfolio/www.tristanparker.co.uk/comments/feed/index.html	(from https://www.tristanparker.co.uk/)
